particle_count,timesteps,threads,sample,time
2000,10,12,14,0.367
2000,10,12,15,0.367
2000,10,12,16,0.419
2000,10,12,17,0.367
2000,10,12,18,0.369
2000,10,12,19,0.378
2000,10,12,20,0.375
2000,10,12,21,0.381
2000,10,12,22,0.379
2000,10,12,23,0.359
2000,10,12,24,0.375
2000,10,12,25,0.373
2000,10,12,26,0.372
2000,10,12,27,0.370
2000,10,12,28,0.367
2000,10,12,29,0.370
2000,10,12,30,0.376
4000,10,1,1,1.040
4000,10,1,2,1.028
4000,10,1,3,1.019
4000,10,1,4,1.056
4000,10,1,5,0.993
4000,10,1,6,1.015
4000,10,1,7,1.063
4000,10,1,8,1.012
4000,10,1,9,1.054
4000,10,1,10,0.989
4000,10,1,11,0.994
4000,10,1,12,1.039
4000,10,1,13,1.021
4000,10,1,14,0.992
4000,10,1,15,1.091
4000,10,1,16,1.013
4000,10,1,17,0.996
4000,10,1,18,1.049
4000,10,1,19,0.994
4000,10,1,20,0.993
4000,10,1,21,1.014
4000,10,1,22,1.065
4000,10,1,23,1.038
4000,10,1,24,1.015
4000,10,1,25,1.008
4000,10,1,26,1.049
4000,10,1,27,1.016
4000,10,1,28,1.018
4000,10,1,29,0.996
4000,10,1,30,0.997
4000,10,2,1,0.715
4000,10,2,2,0.679
4000,10,2,3,0.700
4000,10,2,4,0.686
4000,10,2,5,0.682
4000,10,2,6,0.682
4000,10,2,7,0.674
4000,10,2,8,0.677
4000,10,2,9,0.699
4000,10,2,10,0.677
4000,10,2,11,0.676
4000,10,2,12,0.693
4000,10,2,13,0.636
4000,10,2,14,0.655
4000,10,2,15,0.682
4000,10,2,16,0.677
4000,10,2,17,0.683
4000,10,2,18,0.685
4000,10,2,19,0.691
4000,10,2,20,0.681
4000,10,2,21,0.700
4000,10,2,22,0.694
4000,10,2,23,0.694
4000,10,2,24,0.685
4000,10,2,25,0.679
4000,10,2,26,0.678
4000,10,2,27,0.707
4000,10,2,28,0.694
4000,10,2,29,0.686
4000,10,2,30,0.694
4000,10,4,1,0.501
4000,10,4,2,0.511
4000,10,4,3,0.517
4000,10,4,4,0.516
4000,10,4,5,0.516
4000,10,4,6,0.524
4000,10,4,7,0.533
4000,10,4,8,0.507
4000,10,4,9,0.550
4000,10,4,10,0.541
4000,10,4,11,0.626
4000,10,4,12,0.520
4000,10,4,13,0.511
4000,10,4,14,0.517
4000,10,4,15,0.626
4000,10,4,16,0.654
4000,10,4,17,0.513
4000,10,4,18,0.581
4000,10,4,19,0.546
4000,10,4,20,0.609
4000,10,4,21,0.457
4000,10,4,22,0.532
4000,10,4,23,0.546
4000,10,4,24,0.546
4000,10,4,25,0.553
4000,10,4,26,0.508
4000,10,4,27,0.538
4000,10,4,28,0.517
4000,10,4,29,0.559
4000,10,4,30,0.683
4000,10,8,1,0.512
4000,10,8,2,0.525
4000,10,8,3,0.517
4000,10,8,4,0.522
4000,10,8,5,0.515
4000,10,8,6,0.520
4000,10,8,7,0.521
4000,10,8,8,0.515
4000,10,8,9,0.518
4000,10,8,10,0.517
4000,10,8,11,0.514
4000,10,8,12,0.515
4000,10,8,13,0.518
4000,10,8,14,0.514
4000,10,8,15,0.520
4000,10,8,16,0.519
4000,10,8,17,0.512
4000,10,8,18,0.516
4000,10,8,19,0.512
4000,10,8,20,0.514
4000,10,8,21,0.511
4000,10,8,22,0.514
4000,10,8,23,0.515
4000,10,8,24,0.519
4000,10,8,25,0.511
4000,10,8,26,0.524
